,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
57957,Stolen Away,"A man gets caught in Colombian customs with drugs, his goal is to end up in prison to contact who kidnapped his daughter years ago.",2020,TV-14,48,"['thriller', 'action', 'crime', 'drama']",1.0,7.1,2314.0,Juan Carlos Messier,Cruz,ACTOR
57997,Cagaster of an Insect Cage,"Thirty years after a disease that turns the infected into carnivorous insects emerged, a young exterminator and a teenage girl search for her mother.",2020,TV-14,26,['scifi'],1.0,,,Yoshimasa Hosoya,Kidou (voice),ACTOR
58013,Search: WWW,"The stories of ambitious career women working at the top of the best portal sites in the IT industry. Paved with wins and losses, their road to success takes a new turn when love comes along the way.",2019,,72,"['comedy', 'drama', 'romance']",1.0,7.9,1308.0,Im Soo-jung,Bae Ta-Mi,ACTOR
58033,Hook,"Despite their fathers' rivalry, two university students form a friendship at a boxing gym as they tackle family drama, romance and personal crises.",2020,TV-MA,43,"['drama', 'romance', 'sport']",1.0,6.5,25.0,Jida Jidapa Siribunchawan,Dandao / Dao,ACTOR
58036,I Hear You,"Bei Er Duo, a girl from an ordinary family, dreams about studying in Japan to be a professional voice actor. However, her mother wants her to marry rich whilst she is young, leading to continuous blind dates which irritate Bei Er Duo. In her desperation to raise funds for studying overseas as well as helping her best friend Tang Li out of a crisis, Bei Er Duo joins a couple reality program, encountering top violin maker Ye Shu Wei.",2019,TV-14,45,"['drama', 'comedy', 'romance']",1.0,7.3,560.0,Wang Yilun,Ye Shuwei,ACTOR
58043,Leila,"In the forgotten margins of the segregated communities of a dystopian future, a woman searches for the daughter that she lost upon her arrest years ago.",2019,TV-MA,46,"['war', 'scifi', 'drama']",1.0,4.7,8796.0,Huma Qureshi,Shalini Pathak,ACTOR
58095,Merry Happy Whatever,A strong-willed patriarch must balance the demands of his complicated family with the stress of the Christmas season when his youngest daughter comes home for the holidays with a new boyfriend.,2019,TV-PG,26,['comedy'],1.0,6.4,4542.0,Bridgit Mendler,Emmy Quinn,ACTOR
58123,Well-Intended Love,"In order to receive a bone marrow transplant quicker and be able to continue her career as an actress, Xia Lin enters into a secret marriage with Ling Yi Zhou, the CEO of a company. Despite the conspiracies and misunderstandings they encounter, the two find true love.",2019,TV-14,43,"['drama', 'romance']",2.0,7.2,1433.0,Xu Kaicheng,Ling Yi Zhou,ACTOR
58129,The Neighbor,"Javier is going through a bad patch: he can hardly make it to the end of the month, his business of T-shirts with de-motivational slogans is not quite getting the attention, and his relationship with Lola is shacking. The least thing he needed was for an alien to fall on him and transfer his powers to him before dying.",2019,TV-MA,30,"['comedy', 'action']",2.0,6.5,2125.0,Quim Gutiérrez,Javier,ACTOR
58152,The Healing Powers of Dude,"Noah, an 11-year-old boy with social anxiety disorder, has to start middle school, he turns to a mutt named Dude, a sarcastic emotional support dog who might need Noah as much as Noah needs him.",2020,TV-G,30,"['fantasy', 'action', 'comedy', 'drama', 'family']",1.0,6.5,873.0,Jace Chapman,Noah Ferris,ACTOR
58213,Triad Princess,A woman who grows up in the shadow of her mafia-affiliated father. She defies his wishes and takes a gig as an undercover bodyguard for a famous actress.,2019,,45,['drama'],1.0,6.8,658.0,Eugenie Liu,Angie Ni,ACTOR
58291,The Big Show Show,"When Big Show's teenage daughter comes to live with him and his wife and two other daughters, he quickly becomes outnumbered and outsmarted. Despite being 7 feet tall and weighing 400 pounds, he is no longer the center of attention.",2020,TV-PG,26,['comedy'],1.0,6.3,2375.0,Paul Wight,Big Show,ACTOR
58390,The Lies Within,Kim Seo-hui’s life is changed forever when her politician father dies in a car crash and her husband disappears – all in one day. She enters the world of politics and join hands with small-town detective Jo Tae-sik to uncover the truth when she finds out that the car crash might not have been an accident after all.,2019,,60,"['crime', 'thriller', 'drama']",1.0,7.0,365.0,Lee You-young,Kim Seo-Hee,ACTOR
58415,Glitch Techs,Game-world monsters are wreaking real-world havoc. Here comes tech support!,2020,TV-G,25,['scifi'],2.0,,,Rachael Russakoff,Gauntlet Voice,ACTOR
58421,Go! Live Your Way,"Charismatic Mía gets a scholarship to an elite performing arts school, where she makes close friends but clashes with the owner's popular daughter.",2019,TV-Y7,40,"['drama', 'comedy', 'romance']",2.0,6.7,606.0,Pilar Pascual,,ACTOR
