,title,description,release_year,age_certification,runtime,genres,seasons,imdb_score,imdb_votes,name,character,role
149,Monty Python's Flying Circus,"A British sketch comedy series with the shows being composed of surreality, risqué or innuendo-laden humour, sight gags and observational sketches without punchlines.",1969,TV-14,30,"['comedy', 'european']",4.0,8.8,72895.0,Graham Chapman,Various,ACTOR
599,Monty Python's Fliegender Zirkus,"Monty Python's Fliegender Zirkus consisted of two 45-minute Monty Python German television comedy specials produced by WDR for West German television. The two episodes were first broadcast in January and December 1972 and were shot entirely on film and mostly on location in Bavaria, with the first episode recorded in German and the second recorded in English and then dubbed into German.",1972,TV-MA,43,['comedy'],1.0,8.1,2144.0,Graham Chapman,Various Characters,ACTOR
760,Seinfeld,A stand-up comedian and his three offbeat friends weather the pitfalls and payoffs of life in New York City in the '90s. It's a show about nothing.,1989,TV-PG,24,['comedy'],9.0,8.9,302700.0,Jerry Seinfeld,Jerry Seinfeld,ACTOR
1043,Knight Rider,"Michael Long, an undercover police officer, is shot while investigating a case and left for dead by his assailants. He is rescued by Wilton Knight, a wealthy, dying millionaire and inventor who arranges life-saving surgery, including a new face and a new identity--that of Michael Knight. Michael is then given a special computerized and indestructible car called the Knight Industries Two Thousand (nicknamed KITT), and a mission: apprehend criminals who are beyond the reach of the law. The series depicts Michael's exploits as he and KITT battle the forces of evil on behalf of the Foundation for Law and Government.",1982,TV-PG,51,"['action', 'scifi', 'crime', 'drama']",4.0,6.9,33760.0,David Hasselhoff,Michael Knight,ACTOR
1109,Thomas & Friends,"Thomas & Friends is a British children's television series, which had its first broadcast on the ITV network on 4 September 1984. It is based on The Railway Series of books by the Reverend Wilbert Awdry and his son, Christopher Awdry. These books deal with the adventures of a group of anthropomorphised locomotives and road vehicles who live on the fictional Island of Sodor. The books were based on stories Wilbert told to entertain his son, Christopher during his recovery from measles. From Series one to four, many of the stories are based on events from Awdry's personal experience.",1984,TV-Y,10,"['family', 'comedy', 'music', 'action', 'animation', 'fantasy', 'drama']",24.0,6.5,4948.0,Rachael Louise Miller,,ACTOR
1199,Saved by the Bell,"Lovable schemer Zack Morris leads his pals on adventures at California's Bayside High School. The friends navigate relationships, final exams, school dances, breakups and more while frequently frustrating their principal, Mr. Richard Belding, who does his best to keep them in check.",1989,TV-G,23,"['comedy', 'romance', 'family']",5.0,7.1,34854.0,Mark-Paul Gosselaar,Zack Morris,ACTOR
1265,Wheel of Fortune,"This game show sees contestants solve word puzzles, similar to those used in Hangman, to win cash and prizes determined by spinning a giant carnival wheel.",1983,TV-G,26,['family'],39.0,6.7,3126.0,Vanna White,Co-Host,ACTOR
1267,Major Dad,"Major Dad is an American sitcom created by Richard C. Okie and John G. Stephens, developed by Earl Pomerantz, that originally ran from 1989 to 1993 on CBS, starring Gerald McRaney as Major John D. MacGillis and Shanna Reed as his wife Polly. The cast also includes Beverly Archer, Matt Mulhern, Jon Cypher, Marisa Ryan, Nicole Dubuc and Chelsea Hertford.",1989,TV-PG,24,"['comedy', 'family']",4.0,6.4,2866.0,Gerald McRaney,Major John D. MacGillis,ACTOR
1275,Fireman Sam,"Follow the adventures of fireman Sam and his colleagues as they protect the citizens of the Welsh town of Pontypandy. Whenever the alarm sounds, brave Sam and his co-workers can be counted on to jump into a fire engine, hop onto a helicopter, or even launch an inflatable lifeboat to battle blazes, mount rescue missions, or provide medical attention to those in need.",1987,TV-Y,10,"['comedy', 'animation', 'family', 'crime', 'european']",13.0,6.1,1759.0,Steven Kynman,Sam / Elvis / Norman / Derek / Charlie / Jerry Lee (voice),ACTOR
1286,Danger Mouse,"Danger Mouse, the world's greatest secret agent, and his side-kick Penfold work to foil the evil schemes of Baron Greenback.",1981,TV-Y,15,"['comedy', 'family', 'scifi', 'animation', 'european']",10.0,7.4,3514.0,David Jason,Danger Mouse / Narrator (voice),ACTOR
1668,High Risk,"High Risk is a program aired by the CBS television network as part of its 1988 fall lineup.

The genesis of High Risk was a 1988 strike by members of both the Writers Guild of America, East and Writers Guild of America, west against the Alliance of Motion Picture and Television Producers. Unable to produce regular, scripted series, programs such as High Risk were put together to serve as replacements under fear of a two-year lockout.

The CBS 100% in-house production featured ""high-risk"" stunts and jobs such as Border Patrol agent, automobile repo men, cave explorers, and thrilling roller-coaster testers.

Intended as a two-year commitment, strike or no strike, High Risk received unanimous condemnations and was cancelled after being presented for one night. The show was hosted by Wayne Rogers.",1988,TV-PG,50,['comedy'],1.0,3.8,6.0,Wayne Rogers,,ACTOR
1759,Survivor,"A reality show contest where sixteen or more castaways split between two or more “Tribes” are taken to a remote isolated location and are forced to live off the land with meager supplies for roughly 39 days. Frequent physical challenges are used to pit the tribes against each other for rewards, such as food or luxuries, or for “Immunity”, forcing the other tribe to attend “Tribal Council”, where they must vote off one of their players.",2000,TV-PG,48,['reality'],42.0,7.4,24368.0,Jeff Probst,Himself - Host,ACTOR
1760,Stargate SG-1,"The story of Stargate SG-1 begins about a year after the events of the feature film, when the United States government learns that an ancient alien device called the Stargate can access a network of such devices on a multitude of planets. SG-1 is an elite Air Force special operations team, one of more than two dozen teams from Earth who explore the galaxy and defend against alien threats such as the Goa'uld, Replicators, and the Ori.",1997,TV-PG,44,"['scifi', 'drama', 'action']",10.0,8.4,90196.0,Ben Browder,Cameron Mitchell,ACTOR
1766,Pokémon,"Join Ash accompanied by his partner Pikachu, as he travels through many regions, meets new friends and faces new challenges on his quest to become a Pokémon Master.",1997,TV-Y7,22,"['scifi', 'action', 'comedy', 'fantasy', 'animation', 'family']",24.0,7.6,172.0,Rica Matsumoto,Satoshi (voice),ACTOR
1871,One Piece,"Years ago, the fearsome Pirate King, Gol D. Roger was executed leaving a huge pile of treasure and the famous ""One Piece"" behind. Whoever claims the ""One Piece"" will be named the new King of the Pirates. Monkey D. Luffy, a boy who consumed a ""Devil Fruit,"" decides to follow in the footsteps of his idol, the pirate Shanks, and find the One Piece. It helps, of course, that his body has the properties of rubber and that he's surrounded by a bevy of skilled fighters and thieves to help him along the way. Luffy will do anything to get the One Piece and become King of the Pirates!",1999,TV-14,23,"['action', 'comedy', 'animation', 'drama', 'fantasy']",21.0,8.8,112586.0,Mayumi Tanaka,Monkey D. Luffy (voice),ACTOR
1965,Cowboy Bebop,"In 2071, roughly fifty years after an accident with a hyperspace gateway made the Earth almost uninhabitable, humanity has colonized most of the rocky planets and moons of the Solar System. Amid a rising crime rate, the Inter Solar System Police (ISSP) set up a legalized contract system, in which registered bounty hunters (also referred to as ""Cowboys"") chase criminals and bring them in alive in return for a reward.",1998,TV-14,25,"['western', 'action', 'scifi', 'thriller', 'animation', 'comedy', 'drama']",1.0,8.9,112887.0,Koichi Yamadera,Spike Spiegel / Ein (voice),ACTOR
1969,Star Trek: Deep Space Nine,"At Deep Space Nine, a space station located next to a wormhole in the vicinity of the liberated planet of Bajor, Commander Sisko and crew welcome alien visitors, root out evildoers and solve all types of unexpected problems that come their way.",1993,TV-PG,47,"['scifi', 'action', 'drama']",7.0,8.1,61145.0,Avery Brooks,Benjamin Sisko,ACTOR
1979,The Challenge,"Each Challenge pits numerous cast members from past seasons of reality shows against each other, dividing them into two separate teams according to different criteria, such as gender, which show they first appeared on, whether or not they're veterans or rookies on the show, etc. The two teams compete in numerous missions in order to win prizes and advance in the overall game.",1998,TV-14,40,"['reality', 'comedy', 'drama', 'scifi']",37.0,7.8,3274.0,T.J. Lavin,Self - Host,ACTOR
2012,Gilmore Girls,"Set in the charming town of Stars Hollow, Connecticut, the series follows the captivating lives of Lorelai and Rory Gilmore, a mother/daughter pair who have a relationship most people only dream of.",2000,TV-14,46,"['comedy', 'drama']",8.0,8.2,119054.0,Lauren Graham,Lorelai Gilmore,ACTOR
2181,Neon Genesis Evangelion,"At the turn of the century, the Angels returned to Earth, seeking to wipe out humanity in an apocalyptic fury. Devastated, mankind's last remnants moved underground to wait for the day when the Angels would come back to finish the job. Fifteen years later, that day has come... but this time, humanity is ready to fight back with terrifying bio-mechanical weapons known as the Evangelions. Watch as Shinji, Rei, Asuka and the rest of the mysterious shadow agency Nerv battle to save earth from total annihilation.",1995,TV-14,24,"['scifi', 'action', 'drama', 'thriller', 'fantasy', 'animation']",1.0,8.5,64727.0,Megumi Ogata,Shinji Ikari (voice),ACTOR
2189,The Magic School Bus,An eccentric schoolteacher takes her class on wondrous educational field trips with the help of a magical school bus.,1994,TV-Y,26,"['scifi', 'comedy', 'family', 'fantasy', 'animation']",4.0,7.8,9708.0,Daniel DeSanto,,ACTOR
2266,Power Rangers,"A team of teenagers with attitude are recruited to save Angel Grove from the evil witch, Rita Repulsa, and later, Lord Zedd, Emperor of all he sees, and their horde of monsters.",1993,TV-Y7,22,"['scifi', 'action', 'fantasy', 'family']",29.0,6.5,21949.0,Russell Curry,Zayto,ACTOR
2312,Adventures of Sonic the Hedgehog,"Follow the adventures of Sonic the Hedgehog, and his sidekick Tails, as they attempt to stop Dr. Robotnik and his array of robots from taking over the planet Mobius.",1993,TV-Y7,22,"['action', 'animation', 'scifi', 'western', 'fantasy', 'comedy', 'family']",4.0,6.2,3808.0,Jaleel White,Sonic the Hedgehog (voice),ACTOR
2548,Goosebumps,"Anything can turn spooky in this horror anthology series based on the best-selling books by master of kid horror, R.L. Stine. In every episode, see what happens when regular kids find themselves in scary situations, and how they work to confront and overcome their fears.",1995,TV-PG,22,"['scifi', 'fantasy', 'horror', 'thriller', 'family', 'music']",4.0,7.6,13361.0,R.L. Stine,Host,ACTOR
2549,Yu-Gi-Oh!,"A timid young boy who loves all sorts of games, one day solves an ancient puzzle known as the Millennium Puzzle, causing his body to play host to a mysterious spirit with the personality of a gambler.",1998,TV-Y,22,"['scifi', 'action', 'family', 'fantasy', 'animation', 'comedy', 'drama']",7.0,7.2,20888.0,Megumi Ogata,Yugi Mutou,ACTOR
2561,InuYasha,"Kagome Higurashi is a modern day young girl who lives with her family by the old Higure shrine. Unbeknownst to Kagome, she is the reincarnation of priestess Kikyo and posseses the ""Jewel of Four Souls"" (the Shikon jewel). One ill-fated day, Kagome locates an ancient well near her home and is abruptly transported through the well and into a feudal Japan, inhabited by demons. There, she encounters Inuyasha, son of a powerful demon father and a human mother, who is pinned to a tree by an enchanted arrow.",2000,TV-14,25,"['action', 'comedy', 'scifi', 'animation', 'drama', 'fantasy', 'romance']",9.0,7.9,15823.0,Kappei Yamaguchi,InuYasha (voice),ACTOR
3205,Barney & Friends,"Barney & Friends is an American children's television series aimed at children from ages 2 to 5. The series, which first aired on April 6, 1992, features the title character Barney, a purple anthropomorphic Tyrannosaurus rex who conveys educational messages through songs and small dance routines with a friendly, optimistic attitude.

New episodes have not been produced since 2009; however reruns continue to air on various PBS stations.",1992,TV-G,28,['family'],14.0,3.8,9955.0,David Joyner,Barney,ACTOR
3690,Moesha,"Moesha was an American sitcom series that aired on the UPN network from January 23, 1996 to May 14, 2001. The series stars R&B singer Brandy Norwood as Moesha Mitchell, a high school student living with her family in the Leimert Park neighborhood of South Central Los Angeles. It was originally ordered as a pilot for the CBS network's 1995-1996 television season, who rejected. It was then picked up by UPN, who aired it as a mid-season replacement. It went on to become the biggest success for the nascent network and one of the greatest hits over the course of the network's entire run.",1996,TV-PG,21,"['drama', 'comedy', 'family']",6.0,5.7,3713.0,Brandy Norwood,Moesha Mitchell,ACTOR
3696,"Sister, Sister","Twins Tia Landry and Tamera Campbell were separated and adopted at birth. Fourteen years later, they encounter each other by chance at the mall. After the families meet, Tia's widowed father agrees to let Tamera and her single mother move in with them.",1994,TV-PG,22,"['comedy', 'drama', 'family']",6.0,6.2,12535.0,Tia Mowry-Hardrict,Tia Landry,ACTOR
3701,Cardcaptor Sakura,"Sakura Kinomoto, an elementary school student who discovers that she possesses magical powers after accidentally freeing a set of magical cards from the book they had been sealed in for years. She is then tasked with retrieving those cards in order to avoid an unknown catastrophe from befalling the world.",1998,TV-Y7,25,"['scifi', 'comedy', 'drama', 'family', 'fantasy', 'romance', 'animation', 'action']",4.0,8.0,4936.0,Sakura Tange,Sakura Kinomoto (voice),ACTOR
3789,Girlfriends,"Girlfriends is an American comedy-drama sitcom that premiered on September 11, 2000, on UPN and aired on UPN's successor network, The CW, before being cancelled in 2008. The final episode aired on February 11, 2008.

When Girlfriends returned in fall 2007 for its eighth season, it became the longest-running live-action sitcom on network television that was on air that year, as well as one of the highest-rated scripted shows on television among African American adults and women 18-34, including its spin-off The Game.",2000,TV-PG,21,"['comedy', 'drama']",8.0,7.2,4482.0,Tracee Ellis Ross,,ACTOR
3817,The Parkers,"The Parkers is an American sitcom that aired on UPN from August 30, 1999, to May 10, 2004. A spin-off of UPN's Moesha, The Parkers features the mother-daughter team of Nikki and Kim Parker. The Parkers' signature ""Heeyyy"" greeting became very popular in the early 2000s.",1999,TV-PG,19,['comedy'],5.0,6.8,2346.0,Mo'Nique,Nikki Parker,ACTOR
3862,Dale's Supermarket Sweep,Dale's Supermarket Sweep was a UK game show based on the American Supermarket Sweep TV show format.,1993,TV-G,21,[],8.0,7.1,39.0,Dale Winton,Host,ACTOR
3918,Oggy and the Cockroaches,"Oggy, an anthropomorphic cat, would prefer to spend his days watching television and eating, but is continuously pestered by three roaches: Joey, Marky and Dee Dee. The cockroaches' slapstick mischief ranges from plundering Oggy's refrigerator to hijacking the train he just boarded. In many situations Oggy is also helped by Jack, who is more violent and short-tempered than him and is also annoyed by the cockroaches. Bob, a short-tempered bulldog, also appears in the show, and is Oggy's neighbor.",1999,TV-Y7,9,"['comedy', 'family', 'action', 'animation', 'european']",7.0,7.4,4185.0,Greg Eagles,Jack (voice),ACTOR
3919,H,"H is a French sitcom with seventy-one, 22-minute episodes. The series was created by Kader Aoun, Xavier Matthieu and Éric Judor, and produced by Phillippe Berthe, Édouard Molinaro, Jean-Luc Moreau and Charles Némès. It ran from 24 October 1998 to 20 April 2002 on Canal+. In Canada, it is shown weekly on TV5.

The title ""H"" comes from the three words that characterize the series: Humour, Histoire et Hôpital.",1998,TV-MA,25,['comedy'],4.0,7.4,1703.0,Eric Judor,Aymé Cesaire,ACTOR
3955,Heartbreak High,The ins and outs of the classroom lives of a group of students who attend the fictional Hartley High School in Sydney.,1994,TV-MA,47,"['drama', 'romance', 'comedy']",7.0,7.8,3106.0,Callan Mulvey,Bogdan Drazic,ACTOR
3995,Escalona,"The improbable real life of Rafael Escalona, who had no music education and became Colombia's king of vallenato music, chronicling everyday life.",1991,TV-MA,44,['drama'],1.0,,,Alejandra Borrero,Consuelo,ACTOR
4141,Okupas,"During the year 2000, Ricardo, Pollo, Walter and Chiqui occupied a house in the Buenos Aires neighborhood of Congreso. The four young people forge a strong friendship that leads them to go through different stories of crime, drugs and social marginalization.",2000,TV-MA,40,"['crime', 'drama']",1.0,9.0,2326.0,Rodrigo de la Serna,Ricardo,ACTOR
4564,Breaking Bad,"When Walter White, a New Mexico chemistry teacher, is diagnosed with Stage III cancer and given a prognosis of only two years left to live. He becomes filled with a sense of fearlessness and an unrelenting desire to secure his family's financial future at any cost as he enters the dangerous world of drugs and crime.",2008,TV-MA,48,"['drama', 'thriller', 'crime']",5.0,9.5,1727694.0,Bryan Cranston,Walter White,ACTOR
4572,The Walking Dead,Sheriff's deputy Rick Grimes awakens from a coma to find a post-apocalyptic world dominated by flesh-eating zombies. He sets out to find his family and encounters many other survivors along the way.,2010,TV-MA,46,"['action', 'drama', 'scifi', 'thriller', 'horror']",11.0,8.2,945125.0,Norman Reedus,Daryl Dixon,ACTOR
4583,The Staircase,"Academy Award-winning documentary filmmaker, Jean-Xavier de Lestrade, presents a gripping courtroom thriller, offering a rare and revealing inside look at a high-profile murder trial. In 2001, author Michael Peterson was arraigned for the murder of his wife Kathleen, whose body was discovered lying in a pool of blood on the stairway of their home. Granted unusual access to Peterson's lawyers, home and immediate family, de Lestrade's cameras capture the defense team as it considers its strategic options. The series is an engrossing look at contemporary American justice that features more twists than a legal bestseller.",2004,TV-MA,49,"['crime', 'documentation', 'drama']",2.0,7.8,21531.0,Michael Peterson,Himself,ACTOR
4589,Downton Abbey,"A chronicle of the lives of the aristocratic Crawley family and their servants in the post-Edwardian era—with great events in history having an effect on their lives and on the British social hierarchy.

",2010,TV-14,58,"['drama', 'romance', 'european']",6.0,8.7,197744.0,Maggie Smith,Violet Crawley,ACTOR
4604,Grey's Anatomy,Follows the personal and professional lives of a group of doctors at Seattle’s Grey Sloan Memorial Hospital.,2005,TV-14,49,"['drama', 'romance']",18.0,7.6,293618.0,Ellen Pompeo,Meredith Grey,ACTOR
4617,The Great British Baking Show,Bakers attempt three challenges each week trying to impress the judges enough to go through to the next round and eventually are crowned Britain's best amateur baker.,2010,TV-PG,57,"['reality', 'european']",12.0,8.6,9564.0,Noel Fielding,Himself - Presenter,ACTOR
4621,Criminal Minds,"An elite team of FBI profilers analyze the country's most twisted criminal minds, anticipating their next moves before they strike again. The Behavioral Analysis Unit's most experienced agent is David Rossi, a founding member of the BAU who returns to help the team solve new cases.",2005,TV-14,44,"['thriller', 'crime', 'drama']",15.0,8.1,189191.0,A.J. Cook,Jennifer Jareau,ACTOR
4629,NCIS,"From murder and espionage to terrorism and stolen submarines, a team of special agents investigates any crime that has a shred of evidence connected to Navy and Marine Corps personnel, regardless of rank or position.",2003,TV-14,44,"['action', 'drama', 'crime', 'thriller', 'comedy']",19.0,7.8,141049.0,Sean Murray,Timothy McGee,ACTOR
4636,Community,"Follow the lives of a group of students at what is possibly the world’s worst community college in the fictional locale of Greendale, Colorado.",2009,TV-PG,23,['comedy'],6.0,8.5,252564.0,Joel McHale,Jeff Winger,ACTOR
4644,Heartland,"Life is hard on the Flemings' ranch in the Alberta foothills where abused or neglected horses find refuge with a kind, hard-working family. Debts abound and the bank is about to foreclose. Can they keep the ranch running?",2007,TV-PG,44,"['drama', 'family']",15.0,8.4,15743.0,Amber Marshall,Amy Fleming,ACTOR
4647,Supernatural,"When they were boys, Sam and Dean Winchester lost their mother to a mysterious and demonic supernatural force. Subsequently, their father raised them to be soldiers. He taught them about the paranormal evil that lives in the dark corners and on the back roads of America ... and he taught them how to kill it. Now, the Winchester brothers crisscross the country in their '67 Chevy Impala, battling every kind of supernatural threat they encounter along the way. ",2005,TV-14,45,"['scifi', 'thriller', 'drama', 'fantasy', 'horror']",15.0,8.5,428639.0,Alexander Calvert,Jack Kline,ACTOR
4790,Arrested Development,"The story of a wealthy family that lost everything, and the one son who had no choice but to keep them all together.",2003,TV-MA,28,['comedy'],5.0,8.7,297552.0,Jason Bateman,Michael Bluth,ACTOR
4800,The IT Crowd,"Two I.T. nerds and their clueless female manager, who work in the basement of a very successful company. When they are called on for help, they are never treated with any respect at all.",2006,TV-14,25,"['comedy', 'european']",5.0,8.5,147409.0,Joel McHale,Roy,ACTOR
4805,30 Rock,"Liz Lemon, the head writer for a late-night TV variety show in New York, tries to juggle all the egos around her while chasing her own dream.",2006,TV-14,25,"['comedy', 'sport']",7.0,8.3,121514.0,Tina Fey,Liz Lemon,ACTOR
4818,Avatar: The Last Airbender,"In a war-torn world of elemental magic, a young boy reawakens to undertake a dangerous mystic quest to fulfill his destiny as the Avatar, and bring peace to the world.",2005,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'action']",3.0,9.3,297336.0,Zach Tyler,Aang (voice),ACTOR
4965,Friday Night Lights,"The trials and triumphs of life in the small town of Dillon, Texas, where high school football is everything.",2006,TV-14,43,"['drama', 'sport']",5.0,8.7,64449.0,Kyle Chandler,Eric Taylor,ACTOR
5094,My Little Pony: Friendship Is Magic,"""Get your muzzle out of those books and make some friends!"" That's what Princess Celestia tells Twilight Sparkle. She may be the smartest unicorn in Equestria, but Twilight Sparkle gets an ""incomplete"" in friendship. There's more to life than learning magic, after all -- so she goes to Ponyville on a mission to make friends. There she meets five special ponies who take her on exciting adventures and teach her the most powerful magic of all ... the magic of friendship!",2010,TV-Y7,22,"['scifi', 'animation', 'drama', 'fantasy', 'music', 'comedy', 'family']",9.0,7.6,20708.0,Tara Strong,Twilight Sparkle (voice),ACTOR
5110,The Fairly OddParents,"The zany, fast-paced adventures of a 10-year-old boy and his fairy godparents, who inadvertently create havoc as they grant wishes for their pint-sized charge.",2001,TV-Y7,24,"['scifi', 'family', 'fantasy', 'animation', 'comedy']",10.0,7.2,38046.0,Audrey Grace Marshall,Vivian 'Viv' Turner,ACTOR
5163,Sonic X,Sonic and his friends team up with 12 year old Christopher to collect all the Chaos Emeralds and defeat the evil Dr. Eggman.,2003,TV-Y7,21,"['action', 'drama', 'thriller', 'animation', 'comedy', 'fantasy', 'family', 'scifi']",3.0,6.1,4577.0,Jun'ichi Kanemaru,Sonic the Hedgehog (voice),ACTOR
5192,DEATH NOTE,"Light Yagami is an ace student with great prospects—and he’s bored out of his mind. But all that changes when he finds the Death Note, a notebook dropped by a rogue Shinigami death god. Any human whose name is written in the notebook dies, and Light has vowed to use the power of the Death Note to rid the world of evil. But will Light succeed in his noble goal, or will the Death Note turn him into the very thing he fights against?",2006,TV-14,24,"['scifi', 'animation', 'crime', 'drama', 'fantasy', 'thriller']",1.0,9.0,302147.0,Mamoru Miyano,Light Yagami (voice),ACTOR
5303,The Vampire Diaries,"The story of two vampire brothers obsessed with the same girl, who bears a striking resemblance to the beautiful but ruthless vampire they knew and loved in 1864.",2009,TV-14,42,"['scifi', 'drama', 'thriller', 'fantasy', 'horror', 'romance']",8.0,7.7,310776.0,Paul Wesley,Stefan Salvatore,ACTOR
5570,Naruto,"In another world, ninja are the ultimate power, and in the Village Hidden in the Leaves live the stealthiest ninja in the land. Twelve years earlier, the fearsome Nine-Tailed Fox terrorized the village and claimed many lives before it was subdued and its spirit sealed within the body of a baby boy. That boy, Naruto Uzumaki, has grown up to become a ninja-in-training who's more interested in pranks than in studying ninjutsu.. but Naruto is determined to become the greatest ninja ever!",2002,TV-PG,23,"['scifi', 'comedy', 'animation', 'action', 'fantasy', 'thriller']",6.0,8.4,93980.0,Junko Takeuchi,Naruto Uzumaki (voice),ACTOR
5845,America's Next Top Model,Aspiring models compete for a chance to break into the business with a panel of judges critiquing their progress throughout the competition.,2003,TV-14,44,['reality'],24.0,5.6,17843.0,Tyra Banks,Herself - Host / Judge,ACTOR
5982,Chappelle's Show,Dave Chappelle's singular point of view is unleashed through a combination of laidback stand-up and street-smart sketches.,2003,TV-14,21,"['comedy', 'music']",3.0,8.8,62140.0,Dave Chappelle,,ACTOR
6225,Trailer Park Boys,Follow the booze-fueled misadventures of three longtime pals and petty serial criminals who run scams from their Nova Scotia trailer park.,2001,TV-MA,25,"['comedy', 'crime']",12.0,8.6,41791.0,John Paul Tremblay,Julian,ACTOR
6398,Borgen,"40-year old political leader Birgitte Nyborg secures her party a landslide victory through her idealism and huge effort, then faces the biggest challenge of her life: how most effectively to use the newly won seats, and how far she is willing to go in order to gain as much influence as possible.",2010,TV-MA,58,"['drama', 'european']",4.0,8.5,23523.0,Sidse Babett Knudsen,Birgitte Nyborg,ACTOR
6463,iCarly,"Watch Carly, Sam, and Freddie, as they try to balance their everyday 8th grade lives with their newfound fame managing and starring in the most awesome show on the web.",2007,TV-G,26,"['comedy', 'family', 'romance']",6.0,6.7,38281.0,Miranda Cosgrove,Carly Shay,ACTOR
6468,Victorious,Aspiring singer Tori Vega navigates life while attending a performing arts high school called Hollywood Arts.,2010,TV-G,25,"['comedy', 'drama', 'family', 'music', 'romance', 'sport']",4.0,6.9,24224.0,Victoria Justice,Tori Vega,ACTOR
6550,Merlin,"The unlikely friendship between Merlin, a young man gifted with extraordinary magical powers, and Prince Arthur, heir to the crown of Camelot.",2008,TV-PG,44,"['action', 'scifi', 'drama', 'fantasy', 'european']",5.0,7.9,80138.0,Colin Morgan,Merlin,ACTOR
6936,Offspring,"An exuberant drama set in Melbourne's Fitzroy, centering on Nina Proudman and her struggle to deal with her fabulously messy family, her hunt for a decent love life and her tendency to overthink and fly off into fantasy.",2010,,44,"['drama', 'comedy']",7.0,8.3,4764.0,Asher Keddie,Nina Proudman,ACTOR
7251,Gurren Lagann,"In the distant future, mankind has lived quietly and restlessly underground for hundreds of years, subject to earthquakes and cave-ins. Living in one such village are 2 young men: one named Simon who is shy and naïve, and the other named Kamina who believes in the existence of a “surface” world above their heads.",2007,TV-14,24,"['scifi', 'action', 'comedy', 'drama', 'animation']",1.0,8.3,17024.0,Marina Inoue,Yoko Ritona (voice),ACTOR
7500,Code Geass: Lelouch of the Rebellion,"Japan has been invaded and conquered by the Britannian Empire. Japan is now known as Area 11 and its citizens known as Elevens. The Britannian Empire takes away Japan's autonomous power and imposes its rule through the use of Knightmares. The Empire's rule has never faltered, but cracks have begun to show...",2006,TV-14,24,"['scifi', 'animation', 'action', 'drama', 'thriller', 'war']",3.0,8.7,62367.0,Jun Fukuyama,"Lelouch ""Zero"" Lamperouge (voice)",ACTOR
8280,Transformers: Prime,"Roll out with Optimus Prime, Bumblebee, Arcee, Ratchet, Bulkhead, and the rest of the heroic Autobots as they battle the evil Decepticons. Now that big bad Megatron has returned with a mysterious and dangerous element, Team Prime must prepare for an epic battle.",2010,TV-Y7,22,"['action', 'comedy', 'drama', 'family', 'scifi', 'animation']",4.0,7.9,6500.0,Peter Cullen,Optimus Prime,ACTOR
8545,The Mole,"Players working as a team complete a series of difficult physical and psychological tests, each worth a set amount of money. One of the players, however, is a ""Mole"" or saboteur, whose goal is to foil the efforts of the other players without revealing his or her identity. At the end of each episode, the group is given a quiz on The Mole's identity. The player who knows the least information about The Mole is then immediately sent home. In the final episode, The Mole is revealed and the one remaining player wins the jackpot, up to $1,000,000.",2001,TV-14,52,['reality'],5.0,7.6,1104.0,Jon Kelley,Host,ACTOR
8851,The 4400,"4400 centers on the return of 4400 people who, previously presumed dead or reported missing, reappear on Earth. Though they have not aged physically, some of them seem to have deeper alterations ranging from superhuman strength to an unexplained healing touch. A government agency is formed to track the 4400 people after one of them commits a murder.",2004,TV-14,44,"['scifi', 'thriller', 'drama']",4.0,7.3,44971.0,Jacqueline McKenzie,Diana Skouris,ACTOR
8859,Still Game,Cult Scottish comedy about the lives of two OAP's (Old Age Pensioners) Jack and Victor and their views on how it used to be in the old days and how bad it is now in the fictional town of Craiglang.,2002,TV-14,29,"['comedy', 'european']",9.0,8.9,7539.0,Ford Kiernan,Jack Jarvis,ACTOR
8890,Midnight Diner,"Set in a small restaurant in the corner of a shopping district. The unusual eatery is only open after midnight, and its standard menu consists of just a single choice. However, the customers still come for the amusing chatter and the proprietor's willingness to cook any dish that they request. This drama depicts the lives of the restaurant's patrons, including a yakuza, an unsuccessful actor, a group of office ladies, a newspaper delivery boy, and a stripper.",2009,TV-MA,27,"['drama', 'comedy']",5.0,8.6,2110.0,Kaoru Kobayashi,Master,ACTOR
8895,H2O: Just Add Water,H2O: Just Add Water revolves around three teenage girls facing everyday teen problems with an added twist: they cope with the burden of growing a giant fin and transforming into mermaids whenever they come in contact with water.,2006,TV-PG,25,"['drama', 'scifi', 'fantasy', 'family']",3.0,7.2,14782.0,Phoebe Tonkin,Cleo Sertori,ACTOR
8900,Black Butler,"In Victorian-era London, on the night of Ciel Phantomhive's tenth birthday a fire destroyed his manor and killed both of his parents. In a moment of death Ceil strikes a deal with a demon, his soul in exchange for revenge. This demon becomes his butler and calls himself by name of Sebastian Michaelis, to protect and serve Ciel until the deal has been completed. One month after the fire Ciel returns from being missing, with his new butler Sebastian. Ceil is now the head of the Phantomhive corporation, handling all business affairs as well as the work as the Queen of England’s guard dog and looking for his parents murders.",2008,TV-MA,25,"['scifi', 'fantasy', 'animation', 'comedy', 'drama', 'thriller', 'crime', 'horror', 'action']",3.0,8.3,1856.0,Maaya Sakamoto,Ciel Phantomhive,ACTOR
